"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",22422,9180,4962,2747,543
"S002",1748,1178,475,225,35
"S003",2759,1331,506,335,43
"S004",3713,1813,702,400,92
"S005",19111,7314,3651,2251,273
"S006",3095,1507,659,372,62
"S007",5307,2016,1127,650,77
"S008",3252,1435,699,361,108
"S009",9402,4531,2284,1153,221
"S010",4654,2167,968,575,131
"S011",23295,9313,5531,3250,414
"S012",3747,1920,786,416,67
"S013",9492,4353,2061,1105,206
"S014",30135,12376,7179,3661,684
"S015",2327,990,476,236,41
"S016",2551,1302,591,278,31
"S017",7175,3188,1598,756,121
"S018",7350,3193,1551,816,161
"S019",9948,4068,1904,1023,240
"S020",11195,4577,2293,1102,217
"S021",2836,1418,581,311,64
"S022",1459,648,285,143,22
"S023",1433,852,310,140,27
"S024",6724,4139,2377,1076,88
"S025",640,305,132,62,11
"S026",4637,2458,1099,567,114
"S027",14687,6112,3131,1891,268
"S028",1505,718,343,152,30
"S029",1212,579,236,117,18
"S030",13207,5196,3149,1845,308
"S031",1463,691,332,158,36
"S032",486,380,210,92,10
"S033",3644,1494,704,413,72
"S034",1720,1022,497,201,23
"S035",1445,553,205,162,24
"S036",18486,7611,3838,2162,375
"S037",748,469,166,105,8
"S038",7571,3394,1774,861,163
"S039",13022,5198,2578,1387,223
"S040",5331,2813,1161,531,112
"S041",1238,552,217,120,27
"S042",9736,4713,2430,1157,186
"S043",2975,1407,535,317,59
"S044",9077,3590,1838,957,164
"S045",2357,1023,476,290,54
"S046",1238,528,260,128,25
"S047",1512,779,296,144,34
"S048",11696,5844,3241,1698,198
"S049",5398,2406,1297,591,127
"S050",2870,2257,1018,449,80
"S051",16449,6660,3535,1761,279
"S052",2629,1276,703,402,65
"S053",708,342,135,86,12
"S054",19433,8017,4935,2752,355
"S055",3567,1466,842,308,83
"S056",12073,4859,2889,1347,237
"S057",2282,966,433,285,48
"S058",804,762,247,101,20
"S059",6325,2554,1276,743,119
"S060",23563,9336,6120,3125,429
"S061",412,208,89,46,18
"S062",10093,4721,2511,1294,235
"S063",56109,22399,15718,9750,1035
"S064",6050,8186,4140,1396,154
"S065",29957,11726,9038,5189,440
"S066",10126,9105,5015,2148,222
"S067",39058,16160,10715,5939,810
"S068",28236,12406,7699,4263,601
"S069",36939,15182,10368,6062,615
"S070",42444,16992,12225,6480,915
"S071",32617,13659,9146,4936,519
"S072",22003,11299,7307,3866,401
"S073",27096,10834,7487,4520,562
"S074",18145,9710,5184,2864,373
"S075",29630,11253,7134,3450,327
"S076",32637,12584,7350,4689,510
"S077",25529,10609,6843,4122,379
"S078",31231,12443,8043,4284,606
"S079",6,0,0,0,0
"S080",376,219,133,76,16
"S081",20844,8030,5793,2904,323
"S082",13728,6414,4255,1947,290
"S083",19062,7365,4579,2773,305
"S084",18607,7749,5229,3085,345
"S085",16791,6648,4642,2401,275
"S086",16092,7025,4152,2465,252
"S087",15598,5951,4346,2364,235
"S088",13412,5534,3585,1982,207
"S089",535,313,128,69,9
"S090",44,52,17,7,0
"S091",609,308,134,65,18
"S092",2846,1482,604,300,56
"S093",561,353,120,69,12
"S094",1203,608,243,160,21
"S095",593,321,138,70,17
"S096",249,169,71,32,5
"S097",1965,972,499,218,52
"S098",788,384,173,86,26
"S099",4070,1880,836,444,85
"S100",179,108,49,25,2
"S101",227,120,49,32,3
"S102",474,291,102,64,12
"S103",752,390,160,107,16
"S104",1452,812,399,211,37
"S105",629,297,144,74,17
"S106",377,158,76,33,6
"S107",227,107,48,38,6
"S108",1299,621,268,127,15
"S109",1229,559,210,131,32
"S110",465,246,105,49,9
"S111",94,33,27,12,2
"S112",400,206,96,59,5
"S113",343,163,99,37,8
"S114",612,429,183,74,22
"S115",2217,1233,519,288,62
"S116",850,420,175,99,19
"S117",474,235,90,47,10
"S118",253,137,71,26,9
"S119",647,344,160,82,13
"S120",1207,640,266,129,27
"S121",1568,715,355,170,16
"S122",107,57,26,13,4
"S123",193,94,41,43,6
"S124",552,350,128,58,15
"S125",342,228,68,45,10
"S126",1089,630,272,137,28
"S127",375,207,82,54,10
"S128",209,101,30,20,5
"S129",253,138,60,35,11
"S130",538,286,147,71,7
"S131",2201,890,456,249,36
"S132",1753,837,321,209,37
"S133",447,240,95,69,9
"S134",920,468,231,168,28
"S135",179,114,38,22,4
"S136",70,54,15,9,1
"S137",3134,1591,771,367,60
"S138",980,553,229,144,14
"S139",1049,458,229,114,25
"S140",303,194,73,43,10
"S141",1324,655,328,198,48
"S142",4506,2009,1012,547,100
"S143",4510,2252,1057,487,78
"S144",31743,14802,9256,4725,430
"S145",70316,25728,20247,11100,1691
"S146",21407,18915,11788,5239,425
"S147",86257,31069,21444,16693,1837
"S148",70732,27320,17976,11476,1809
"S149",68191,24738,14947,13647,1157
"S150",72722,29195,20589,14482,1669
"S151",15,5,2,3,0
"S152",1270,911,543,275,39
