"effect_var","cause_var","int_est","int_tval","int_pval","nofert_est","nofert_tval","nofert_pval"
"smapc","COI_Taxa00127_tp0",0.085160066684104,5.50791162242373,3.44053240381022e-06,-0.0220941455977052,-1.04694892306284,0.32572142201401
"smapc","EUK_Taxa00659_tp-1",0.0564966312595729,4.36575822479059,0.000107051665784984,0.00428511533414635,0.246810363113819,0.811270467070083
"smapc","PRO_Taxa00050_tp-2",0.0368843426141437,13.7321154860612,1.16961074203035e-15,0.00713709921446745,1.98052751826559,0.0829809419656537
"smapc","COI_Taxa00134_tp-1",0.0136592602131525,10.2774020136128,4.12323750241462e-12,0.000201454807942839,0.112978954221504,0.912830869530827
"smapc","EUK_Taxa00306_tp-2",0.0112837152331328,3.05628969453677,0.0042718451093771,-0.00249525574593511,-0.503757136242392,0.628008662616263
"smapc","PRO_Taxa00013_tp0",-0.0186232784598103,-16.0448616771342,1.0435485395233e-17,0.00173381133618484,1.11338515342684,0.297874782403962
"smapc","PRO_Taxa00011_tp0",-0.0339161134441587,-14.8072481582021,1.21925858092224e-16,0.00654606814814678,2.13016156938354,0.0657764188805832
"raw_value","COI_Taxa00127_tp0",-0.289535552739333,-12.9925373528836,5.95949324516511e-15,-0.028287027295348,-0.946113265199866,0.371786815344929
"raw_value","EUK_Taxa00659_tp-1",-0.0160892410903012,-0.31032454029356,0.758154608626082,-0.230014695326335,-3.30673880632297,0.0107503218768425
"raw_value","PRO_Taxa00050_tp-2",0.448599094206133,3.23204857967425,0.00267848089077207,-0.838118186691005,-4.50078740648173,0.0020000093254307
"raw_value","COI_Taxa00134_tp-1",0.978409293249233,3.06990286093024,0.00412180084715959,-1.2393531172679,-2.89843039393187,0.0199396386048046
"raw_value","EUK_Taxa00306_tp-2",-0.200842865280138,-1.03144078444865,0.309409283152477,0.4796626240261,1.83606274180644,0.103669321641489
"raw_value","PRO_Taxa00013_tp0",-0.0111308108517005,-0.0356381476728745,0.971773374961505,0.909163501675555,2.16967188008587,0.0618501442191421
"raw_value","PRO_Taxa00011_tp0",-0.257255220814962,-0.794149310643723,0.432460325161591,1.14927927391997,2.6444008502038,0.029511084807738
"overall_effect","COI_Taxa00127_tp0",-0.0284745754613491,-5.08736977704296,1.23190990116042e-05,0.010030099119046,1.30415828114683,0.228449451444046
"overall_effect","EUK_Taxa00659_tp-1",0.00743319235136308,1.40724107605413,0.168174933082425,-0.0222140397799404,-3.13461656704697,0.0139178978936287
"overall_effect","PRO_Taxa00050_tp-2",0.0112914547759948,2.8275132366475,0.00770729763210528,-0.0284338226203494,-5.30705690585043,0.000722213758882746
"overall_effect","COI_Taxa00134_tp-1",0.0126280996241418,2.92619200585766,0.00599055144857815,-0.0162085739346564,-2.7994542460117,0.0232173664951901
"overall_effect","EUK_Taxa00306_tp-2",0.00154093659144195,0.525538934979282,0.602522536596765,-0.00418240070329708,-1.06318665015976,0.318733908429312
"overall_effect","PRO_Taxa00013_tp0",0.00100383174207083,0.257127517270482,0.798585981980878,-0.01227115391573,-2.34280845584109,0.0472082662421795
"overall_effect","PRO_Taxa00011_tp0",0.0087250624348795,2.43267389353905,0.0202390302231237,-0.0164852735576044,-3.42590453360254,0.00900910409911255
